,product,price,quantity,date,region,products
1458,pink morsel,$3.00,518,2018-03-30,east,pink morsel
1459,pink morsel,$3.00,575,2018-03-30,west,pink morsel
1484,pink morsel,$3.00,539,2018-03-31,north,pink morsel
1485,pink morsel,$3.00,545,2018-03-31,south,pink morsel
1486,pink morsel,$3.00,535,2018-03-31,east,pink morsel
1487,pink morsel,$3.00,595,2018-03-31,west,pink morsel
1512,pink morsel,$3.00,587,2018-04-01,north,pink morsel
1513,pink morsel,$3.00,510,2018-04-01,south,pink morsel
1514,pink morsel,$3.00,570,2018-04-01,east,pink morsel
1515,pink morsel,$3.00,502,2018-04-01,west,pink morsel
1540,pink morsel,$3.00,503,2018-04-02,north,pink morsel
1541,pink morsel,$3.00,599,2018-04-02,south,pink morsel
1542,pink morsel,$3.00,554,2018-04-02,east,pink morsel
1543,pink morsel,$3.00,510,2018-04-02,west,pink morsel
1568,pink morsel,$3.00,589,2018-04-03,north,pink morsel
1569,pink morsel,$3.00,589,2018-04-03,south,pink morsel
1570,pink morsel,$3.00,538,2018-04-03,east,pink morsel
1571,pink morsel,$3.00,511,2018-04-03,west,pink morsel
1596,pink morsel,$3.00,589,2018-04-04,north,pink morsel
1597,pink morsel,$3.00,587,2018-04-04,south,pink morsel
1598,pink morsel,$3.00,522,2018-04-04,east,pink morsel
1599,pink morsel,$3.00,541,2018-04-04,west,pink morsel
1624,pink morsel,$3.00,502,2018-04-05,north,pink morsel
1625,pink morsel,$3.00,504,2018-04-05,south,pink morsel
1626,pink morsel,$3.00,564,2018-04-05,east,pink morsel
1627,pink morsel,$3.00,583,2018-04-05,west,pink morsel
1652,pink morsel,$3.00,567,2018-04-06,north,pink morsel
1653,pink morsel,$3.00,584,2018-04-06,south,pink morsel
1654,pink morsel,$3.00,544,2018-04-06,east,pink morsel
1655,pink morsel,$3.00,505,2018-04-06,west,pink morsel
1680,pink morsel,$3.00,575,2018-04-07,north,pink morsel
1681,pink morsel,$3.00,537,2018-04-07,south,pink morsel
1682,pink morsel,$3.00,596,2018-04-07,east,pink morsel
1683,pink morsel,$3.00,539,2018-04-07,west,pink morsel
1708,pink morsel,$3.00,552,2018-04-08,north,pink morsel
1709,pink morsel,$3.00,558,2018-04-08,south,pink morsel
1710,pink morsel,$3.00,519,2018-04-08,east,pink morsel
1711,pink morsel,$3.00,567,2018-04-08,west,pink morsel
1736,pink morsel,$3.00,562,2018-04-09,north,pink morsel
1737,pink morsel,$3.00,594,2018-04-09,south,pink morsel
1738,pink morsel,$3.00,547,2018-04-09,east,pink morsel
1739,pink morsel,$3.00,519,2018-04-09,west,pink morsel
1764,pink morsel,$3.00,562,2018-04-10,north,pink morsel
1765,pink morsel,$3.00,509,2018-04-10,south,pink morsel
1766,pink morsel,$3.00,566,2018-04-10,east,pink morsel
1767,pink morsel,$3.00,576,2018-04-10,west,pink morsel
1792,pink morsel,$3.00,557,2018-04-11,north,pink morsel
1793,pink morsel,$3.00,509,2018-04-11,south,pink morsel
1794,pink morsel,$3.00,527,2018-04-11,east,pink morsel
1795,pink morsel,$3.00,588,2018-04-11,west,pink morsel
1820,pink morsel,$3.00,551,2018-04-12,north,pink morsel
1821,pink morsel,$3.00,542,2018-04-12,south,pink morsel
1822,pink morsel,$3.00,594,2018-04-12,east,pink morsel
1823,pink morsel,$3.00,583,2018-04-12,west,pink morsel
1848,pink morsel,$3.00,513,2018-04-13,north,pink morsel
1849,pink morsel,$3.00,584,2018-04-13,south,pink morsel
1850,pink morsel,$3.00,558,2018-04-13,east,pink morsel
1851,pink morsel,$3.00,583,2018-04-13,west,pink morsel
1876,pink morsel,$3.00,523,2018-04-14,north,pink morsel
1877,pink morsel,$3.00,598,2018-04-14,south,pink morsel
1878,pink morsel,$3.00,558,2018-04-14,east,pink morsel
1879,pink morsel,$3.00,546,2018-04-14,west,pink morsel
1904,pink morsel,$3.00,505,2018-04-15,north,pink morsel
1905,pink morsel,$3.00,509,2018-04-15,south,pink morsel
1906,pink morsel,$3.00,534,2018-04-15,east,pink morsel
1907,pink morsel,$3.00,551,2018-04-15,west,pink morsel
1932,pink morsel,$3.00,534,2018-04-16,north,pink morsel
1933,pink morsel,$3.00,569,2018-04-16,south,pink morsel
1934,pink morsel,$3.00,516,2018-04-16,east,pink morsel
1935,pink morsel,$3.00,509,2018-04-16,west,pink morsel
1960,pink morsel,$3.00,533,2018-04-17,north,pink morsel
1961,pink morsel,$3.00,576,2018-04-17,south,pink morsel
1962,pink morsel,$3.00,568,2018-04-17,east,pink morsel
1963,pink morsel,$3.00,513,2018-04-17,west,pink morsel
1988,pink morsel,$3.00,515,2018-04-18,north,pink morsel
1989,pink morsel,$3.00,599,2018-04-18,south,pink morsel
1990,pink morsel,$3.00,505,2018-04-18,east,pink morsel
1991,pink morsel,$3.00,573,2018-04-18,west,pink morsel
2016,pink morsel,$3.00,571,2018-04-19,north,pink morsel
2017,pink morsel,$3.00,558,2018-04-19,south,pink morsel
2018,pink morsel,$3.00,589,2018-04-19,east,pink morsel
2019,pink morsel,$3.00,589,2018-04-19,west,pink morsel
2044,pink morsel,$3.00,556,2018-04-20,north,pink morsel
2045,pink morsel,$3.00,540,2018-04-20,south,pink morsel
2046,pink morsel,$3.00,559,2018-04-20,east,pink morsel
2047,pink morsel,$3.00,503,2018-04-20,west,pink morsel
2072,pink morsel,$3.00,561,2018-04-21,north,pink morsel
2073,pink morsel,$3.00,581,2018-04-21,south,pink morsel
2074,pink morsel,$3.00,548,2018-04-21,east,pink morsel
2075,pink morsel,$3.00,526,2018-04-21,west,pink morsel
2100,pink morsel,$3.00,524,2018-04-22,north,pink morsel
2101,pink morsel,$3.00,515,2018-04-22,south,pink morsel
2102,pink morsel,$3.00,519,2018-04-22,east,pink morsel
2103,pink morsel,$3.00,542,2018-04-22,west,pink morsel
2128,pink morsel,$3.00,570,2018-04-23,north,pink morsel
2129,pink morsel,$3.00,553,2018-04-23,south,pink morsel
2130,pink morsel,$3.00,555,2018-04-23,east,pink morsel
2131,pink morsel,$3.00,507,2018-04-23,west,pink morsel
2156,pink morsel,$3.00,501,2018-04-24,north,pink morsel
2157,pink morsel,$3.00,550,2018-04-24,south,pink morsel
2158,pink morsel,$3.00,563,2018-04-24,east,pink morsel
2159,pink morsel,$3.00,581,2018-04-24,west,pink morsel
2184,pink morsel,$3.00,541,2018-04-25,north,pink morsel
2185,pink morsel,$3.00,501,2018-04-25,south,pink morsel
2186,pink morsel,$3.00,586,2018-04-25,east,pink morsel
2187,pink morsel,$3.00,519,2018-04-25,west,pink morsel
2212,pink morsel,$3.00,571,2018-04-26,north,pink morsel
2213,pink morsel,$3.00,578,2018-04-26,south,pink morsel
2214,pink morsel,$3.00,580,2018-04-26,east,pink morsel
2215,pink morsel,$3.00,521,2018-04-26,west,pink morsel
2240,pink morsel,$3.00,572,2018-04-27,north,pink morsel
2241,pink morsel,$3.00,597,2018-04-27,south,pink morsel
2242,pink morsel,$3.00,558,2018-04-27,east,pink morsel
2243,pink morsel,$3.00,572,2018-04-27,west,pink morsel
2268,pink morsel,$3.00,544,2018-04-28,north,pink morsel
2269,pink morsel,$3.00,547,2018-04-28,south,pink morsel
2270,pink morsel,$3.00,528,2018-04-28,east,pink morsel
2271,pink morsel,$3.00,530,2018-04-28,west,pink morsel
2296,pink morsel,$3.00,571,2018-04-29,north,pink morsel
2297,pink morsel,$3.00,531,2018-04-29,south,pink morsel
2298,pink morsel,$3.00,580,2018-04-29,east,pink morsel
2299,pink morsel,$3.00,546,2018-04-29,west,pink morsel
2324,pink morsel,$3.00,551,2018-04-30,north,pink morsel
2325,pink morsel,$3.00,530,2018-04-30,south,pink morsel
2326,pink morsel,$3.00,531,2018-04-30,east,pink morsel
2327,pink morsel,$3.00,534,2018-04-30,west,pink morsel
2352,pink morsel,$3.00,595,2018-05-01,north,pink morsel
2353,pink morsel,$3.00,588,2018-05-01,south,pink morsel
2354,pink morsel,$3.00,502,2018-05-01,east,pink morsel
2355,pink morsel,$3.00,512,2018-05-01,west,pink morsel
2380,pink morsel,$3.00,541,2018-05-02,north,pink morsel
2381,pink morsel,$3.00,558,2018-05-02,south,pink morsel
2382,pink morsel,$3.00,597,2018-05-02,east,pink morsel
2383,pink morsel,$3.00,551,2018-05-02,west,pink morsel
2408,pink morsel,$3.00,595,2018-05-03,north,pink morsel
2409,pink morsel,$3.00,523,2018-05-03,south,pink morsel
2410,pink morsel,$3.00,500,2018-05-03,east,pink morsel
2411,pink morsel,$3.00,590,2018-05-03,west,pink morsel
2436,pink morsel,$3.00,551,2018-05-04,north,pink morsel
2437,pink morsel,$3.00,530,2018-05-04,south,pink morsel
2438,pink morsel,$3.00,557,2018-05-04,east,pink morsel
2439,pink morsel,$3.00,543,2018-05-04,west,pink morsel
2464,pink morsel,$3.00,526,2018-05-05,north,pink morsel
2465,pink morsel,$3.00,555,2018-05-05,south,pink morsel
2466,pink morsel,$3.00,525,2018-05-05,east,pink morsel
2467,pink morsel,$3.00,529,2018-05-05,west,pink morsel
2492,pink morsel,$3.00,558,2018-05-06,north,pink morsel
2493,pink morsel,$3.00,595,2018-05-06,south,pink morsel
2494,pink morsel,$3.00,573,2018-05-06,east,pink morsel
2495,pink morsel,$3.00,539,2018-05-06,west,pink morsel
2520,pink morsel,$3.00,598,2018-05-07,north,pink morsel
2521,pink morsel,$3.00,521,2018-05-07,south,pink morsel
2522,pink morsel,$3.00,576,2018-05-07,east,pink morsel
2523,pink morsel,$3.00,580,2018-05-07,west,pink morsel
2548,pink morsel,$3.00,539,2018-05-08,north,pink morsel
2549,pink morsel,$3.00,550,2018-05-08,south,pink morsel
2550,pink morsel,$3.00,576,2018-05-08,east,pink morsel
2551,pink morsel,$3.00,545,2018-05-08,west,pink morsel
2576,pink morsel,$3.00,528,2018-05-09,north,pink morsel
2577,pink morsel,$3.00,549,2018-05-09,south,pink morsel
2578,pink morsel,$3.00,517,2018-05-09,east,pink morsel
2579,pink morsel,$3.00,504,2018-05-09,west,pink morsel
2604,pink morsel,$3.00,579,2018-05-10,north,pink morsel
2605,pink morsel,$3.00,517,2018-05-10,south,pink morsel
2606,pink morsel,$3.00,505,2018-05-10,east,pink morsel
2607,pink morsel,$3.00,572,2018-05-10,west,pink morsel
2632,pink morsel,$3.00,582,2018-05-11,north,pink morsel
2633,pink morsel,$3.00,559,2018-05-11,south,pink morsel
2634,pink morsel,$3.00,528,2018-05-11,east,pink morsel
2635,pink morsel,$3.00,539,2018-05-11,west,pink morsel
2660,pink morsel,$3.00,581,2018-05-12,north,pink morsel
2661,pink morsel,$3.00,511,2018-05-12,south,pink morsel
2662,pink morsel,$3.00,507,2018-05-12,east,pink morsel
2663,pink morsel,$3.00,526,2018-05-12,west,pink morsel
2688,pink morsel,$3.00,515,2018-05-13,north,pink morsel
2689,pink morsel,$3.00,571,2018-05-13,south,pink morsel
2690,pink morsel,$3.00,555,2018-05-13,east,pink morsel
2691,pink morsel,$3.00,548,2018-05-13,west,pink morsel
2716,pink morsel,$3.00,592,2018-05-14,north,pink morsel
2717,pink morsel,$3.00,520,2018-05-14,south,pink morsel
2718,pink morsel,$3.00,548,2018-05-14,east,pink morsel
2719,pink morsel,$3.00,501,2018-05-14,west,pink morsel
2744,pink morsel,$3.00,600,2018-05-15,north,pink morsel
2745,pink morsel,$3.00,586,2018-05-15,south,pink morsel
2746,pink morsel,$3.00,567,2018-05-15,east,pink morsel
2747,pink morsel,$3.00,557,2018-05-15,west,pink morsel
2772,pink morsel,$3.00,531,2018-05-16,north,pink morsel
2773,pink morsel,$3.00,539,2018-05-16,south,pink morsel
2774,pink morsel,$3.00,542,2018-05-16,east,pink morsel
2775,pink morsel,$3.00,543,2018-05-16,west,pink morsel
2800,pink morsel,$3.00,576,2018-05-17,north,pink morsel
2801,pink morsel,$3.00,502,2018-05-17,south,pink morsel
2802,pink morsel,$3.00,530,2018-05-17,east,pink morsel
2803,pink morsel,$3.00,542,2018-05-17,west,pink morsel
2828,pink morsel,$3.00,594,2018-05-18,north,pink morsel
2829,pink morsel,$3.00,524,2018-05-18,south,pink morsel
2830,pink morsel,$3.00,513,2018-05-18,east,pink morsel
2831,pink morsel,$3.00,503,2018-05-18,west,pink morsel
2856,pink morsel,$3.00,596,2018-05-19,north,pink morsel
2857,pink morsel,$3.00,571,2018-05-19,south,pink morsel
2858,pink morsel,$3.00,542,2018-05-19,east,pink morsel
2859,pink morsel,$3.00,543,2018-05-19,west,pink morsel
2884,pink morsel,$3.00,516,2018-05-20,north,pink morsel
2885,pink morsel,$3.00,572,2018-05-20,south,pink morsel
2886,pink morsel,$3.00,584,2018-05-20,east,pink morsel
2887,pink morsel,$3.00,546,2018-05-20,west,pink morsel
2912,pink morsel,$3.00,525,2018-05-21,north,pink morsel
2913,pink morsel,$3.00,557,2018-05-21,south,pink morsel
2914,pink morsel,$3.00,542,2018-05-21,east,pink morsel
2915,pink morsel,$3.00,524,2018-05-21,west,pink morsel
2940,pink morsel,$3.00,524,2018-05-22,north,pink morsel
2941,pink morsel,$3.00,523,2018-05-22,south,pink morsel
2942,pink morsel,$3.00,527,2018-05-22,east,pink morsel
2943,pink morsel,$3.00,507,2018-05-22,west,pink morsel
2968,pink morsel,$3.00,547,2018-05-23,north,pink morsel
2969,pink morsel,$3.00,564,2018-05-23,south,pink morsel
2970,pink morsel,$3.00,571,2018-05-23,east,pink morsel
2971,pink morsel,$3.00,521,2018-05-23,west,pink morsel
2996,pink morsel,$3.00,508,2018-05-24,north,pink morsel
2997,pink morsel,$3.00,511,2018-05-24,south,pink morsel
2998,pink morsel,$3.00,565,2018-05-24,east,pink morsel
2999,pink morsel,$3.00,511,2018-05-24,west,pink morsel
3024,pink morsel,$3.00,533,2018-05-25,north,pink morsel
3025,pink morsel,$3.00,555,2018-05-25,south,pink morsel
3026,pink morsel,$3.00,571,2018-05-25,east,pink morsel
3027,pink morsel,$3.00,548,2018-05-25,west,pink morsel
3052,pink morsel,$3.00,592,2018-05-26,north,pink morsel
3053,pink morsel,$3.00,510,2018-05-26,south,pink morsel
3054,pink morsel,$3.00,550,2018-05-26,east,pink morsel
3055,pink morsel,$3.00,504,2018-05-26,west,pink morsel
3080,pink morsel,$3.00,543,2018-05-27,north,pink morsel
3081,pink morsel,$3.00,569,2018-05-27,south,pink morsel
3082,pink morsel,$3.00,507,2018-05-27,east,pink morsel
3083,pink morsel,$3.00,587,2018-05-27,west,pink morsel
3108,pink morsel,$3.00,585,2018-05-28,north,pink morsel
3109,pink morsel,$3.00,553,2018-05-28,south,pink morsel
3110,pink morsel,$3.00,600,2018-05-28,east,pink morsel
3111,pink morsel,$3.00,513,2018-05-28,west,pink morsel
3136,pink morsel,$3.00,571,2018-05-29,north,pink morsel
3137,pink morsel,$3.00,584,2018-05-29,south,pink morsel
3138,pink morsel,$3.00,543,2018-05-29,east,pink morsel
3139,pink morsel,$3.00,545,2018-05-29,west,pink morsel
3164,pink morsel,$3.00,558,2018-05-30,north,pink morsel
3165,pink morsel,$3.00,567,2018-05-30,south,pink morsel
3166,pink morsel,$3.00,538,2018-05-30,east,pink morsel
